Gene ID	Gene Name	ERR1736465	ERR1736466	ERR1736467	ERR1736468	ERR1736469	ERR1736470
ENSG00000003137	CYP26B1	1	0	0	3	1	2
ENSG00000003147	ICA1	5	5	1	4	1	7
ENSG00000003249	DBNDD1	128	210	71	201	153	274
ENSG00000003393	ALS2	283	482	247	562	439	494
ENSG00000003400	CASP10	17	48	34	47	27	28
ENSG00000003402	CFLAR	370	456	212	837	680	1020
ENSG00000003436	TFPI	2426	3654	1692	7708	6422	7239
ENSG00000003509	NDUFAF7	194	340	185	500	336	342
ENSG00000003756	RBM5	266	579	274	739	589	549
ENSG00000003987	MTMR7	9	15	3	16	15	23
ENSG00000003989	SLC7A2	1108	1702	790	1132	1008	1042
ENSG00000004059	ARF5	1333	1936	931	2298	1998	2751
ENSG00000004139	SARM1	114	233	106	578	440	437
ENSG00000004142	POLDIP2	821	1493	678	1689	1447	1737
ENSG00000004399	PLXND1	87	111	47	337	206	317
ENSG00000004455	AK2	2888	4582	2214	8838	6319	6965
ENSG00000004468	CD38	0	0	0	0	0	0
ENSG00000004478	FKBP4	8559	12102	6062	13119	10124	12145
ENSG00000004487	KDM1A	375	602	322	836	551	676
ENSG00000004534	RBM6	228	377	141	499	433	490
ENSG00000004660	CAMKK1	61	109	39	30	26	37
ENSG00000004700	RECQL	422	864	369	1083	920	868
ENSG00000004766	VPS50	167	375	152	309	230	211
ENSG00000004776	HSPB6	17	30	16	20	9	26
ENSG00000004777	ARHGAP33	56	199	43	86	66	120
ENSG00000004779	NDUFAB1	1984	3766	1926	2907	2419	2322
ENSG00000004799	PDK4	6	36	19	95	62	64
ENSG00000004809	SLC22A16	0	0	0	0	0	0
ENSG00000004838	ZMYND10	14	68	4	32	34	34
ENSG00000004846	ABCB5	0	0	0	0	0	1
ENSG00000004848	ARX	0	0	0	0	0	0
ENSG00000004864	SLC25A13	200	341	166	469	360	304
ENSG00000004866	ST7	337	740	314	1023	806	753
ENSG00000004897	CDC27	3005	5819	3019	4675	3894	4042
ENSG00000004939	SLC4A1	0	4	0	0	0	0
ENSG00000004948	CALCR	0	2	1	0	0	0
ENSG00000004961	HCCS	481	678	266	996	858	1085
ENSG00000004975	DVL2	223	331	124	363	295	402
ENSG00000005001	PRSS22	0	0	0	0	0	0
ENSG00000005007	UPF1	489	709	288	994	853	1074
ENSG00000005020	SKAP2	409	965	456	1635	1200	1103
ENSG00000005022	SLC25A5	12520	19636	9108	21240	18142	19689
ENSG00000005059	MCUB	179	266	101	630	575	562
ENSG00000005073	HOXA11	11	26	6	0	6	5
ENSG00000005075	POLR2J	693	994	450	1190	1139	1377
ENSG00000005100	DHX33	757	1149	483	1090	838	1231
ENSG00000005102	MEOX1	0	0	0	0	0	0
ENSG00000005108	THSD7A	0	1	0	0	0	2
ENSG00000005156	LIG3	549	928	407	574	482	543
ENSG00000005175	RPAP3	514	724	344	1029	816	1008
ENSG00000005187	ACSM3	61	125	39	6	6	14
ENSG00000005189	REXO5	65	113	37	71	55	60
ENSG00000005194	CIAPIN1	1147	1870	925	1566	1250	1331
ENSG00000005206	SPPL2B	101	220	98	383	257	335
ENSG00000005238	FAM214B	23	21	10	101	69	114
ENSG00000005243	COPZ2	18	30	13	42	26	43
ENSG00000005249	PRKAR2B	260	471	219	308	255	230
ENSG00000005302	MSL3	263	476	202	744	656	676
ENSG00000005339	CREBBP	261	559	259	383	369	437
ENSG00000005379	TSPOAP1	0	17	0	0	0	0
ENSG00000005381	MPO	0	0	0	0	0	0
ENSG00000005421	PON1	0	2	0	0	0	0
ENSG00000005436	GCFC2	156	286	146	354	270	258
ENSG00000005448	WDR54	202	343	148	389	270	329
ENSG00000005469	CROT	130	226	107	219	156	152
ENSG00000005471	ABCB4	4	0	0	0	3	2
ENSG00000005483	KMT2E	542	955	428	1223	795	996
ENSG00000005486	RHBDD2	332	474	205	944	900	984
ENSG00000005513	SOX8	0	0	0	0	0	0
ENSG00000005700	IBTK	202	381	163	392	327	333
ENSG00000005801	ZNF195	53	128	47	154	110	145
ENSG00000005810	MYCBP2	246	564	215	511	437	408
ENSG00000005812	FBXL3	256	503	217	528	443	394
ENSG00000005844	ITGAL	0	7	0	0	0	0
ENSG00000005882	PDK2	344	504	263	493	343	458
ENSG00000005884	ITGA3	1916	3238	1563	5788	3843	5635
ENSG00000005889	ZFX	1162	1793	843	1999	1690	1820
ENSG00000005893	LAMP2	2294	4222	1924	5167	4525	4026
ENSG00000005961	ITGA2B	2	1	0	1	0	0
ENSG00000005981	ASB4	0	1	0	0	0	0
ENSG00000006007	GDE1	565	789	426	864	792	838
ENSG00000006015	REX1BD	53	99	51	81	75	125
ENSG00000006016	CRLF1	9	8	2	10	6	3
ENSG00000006025	OSBPL7	9	13	5	8	8	5
ENSG00000006042	TMEM98	963	1224	461	432	359	477
ENSG00000006047	YBX2	1	30	0	0	0	0
ENSG00000006059	KRT33A	0	9	0	0	0	0
ENSG00000006062	MAP3K14	443	549	313	792	875	1248
ENSG00000006071	ABCC8	0	2	0	0	0	2
ENSG00000006116	CACNG3	0	0	0	0	0	0
ENSG00000006118	TMEM132A	355	509	209	868	550	1002
ENSG00000006125	AP2B1	3399	5476	2308	5964	4647	5520
ENSG00000006128	TAC1	0	0	0	3	0	0
ENSG00000006194	ZNF263	40	33	14	24	29	51
ENSG00000006210	CX3CL1	0	0	0	0	0	0
ENSG00000006282	SPATA20	320	481	202	308	250	422
ENSG00000006283	CACNA1G	0	0	0	0	0	0
ENSG00000006327	TNFRSF12A	2452	3087	1290	4713	4438	9396
ENSG00000006377	DLX6	121	219	89	110	108	88
ENSG00000006432	MAP3K9	198	484	246	190	163	170
ENSG00000006451	RALA	49	79	26	104	109	111
ENSG00000006453	BAIAP2L1	443	567	265	666	683	718
ENSG00000006459	KDM7A	145	312	166	285	249	222
ENSG00000006468	ETV1	193	455	194	501	401	445
ENSG00000006530	AGK	10	10	3	17	4	14
ENSG00000006534	ALDH3B1	2	11	6	27	25	19
ENSG00000006555	TTC22	0	0	0	0	0	0
ENSG00000006576	PHTF2	634	1202	581	1132	996	969
ENSG00000006606	CCL26	8	45	15	73	30	66
ENSG00000006607	FARP2	7	13	2	8	16	18
ENSG00000006611	USH1C	0	0	0	0	0	0
ENSG00000006625	GGCT	903	1292	604	2074	2009	2143
ENSG00000006634	DBF4	599	1154	601	882	746	720
ENSG00000006638	TBXA2R	24	33	21	109	59	144
ENSG00000006652	IFRD1	117	202	83	131	75	144
ENSG00000006659	LGALS14	0	0	0	0	0	0
ENSG00000006695	COX10	1275	2312	1146	1992	1500	1524
ENSG00000006704	GTF2IRD1	275	545	168	515	453	670
ENSG00000006712	PAF1	2204	3276	1491	2273	1973	2352
ENSG00000006715	VPS41	300	563	260	726	699	902
ENSG00000006740	ARHGAP44	194	301	142	372	269	288
ENSG00000006744	ELAC2	1879	2627	1407	2845	1950	2858
ENSG00000006747	SCIN	0	2	0	4	6	3
ENSG00000006756	ARSD	6	13	6	26	16	14
ENSG00000006757	PNPLA4	4	11	2	91	66	100
ENSG00000006788	MYH13	0	1	0	0	0	0
ENSG00000006831	ADIPOR2	523	765	356	1109	958	1186
ENSG00000006837	CDKL3	3	4	1	0	0	2
ENSG00000007001	UPP2	0	0	0	0	0	0
ENSG00000007038	PRSS21	282	396	220	129	100	119
ENSG00000007047	MARK4	291	397	211	573	536	622
ENSG00000007062	PROM1	0	0	3	0	0	0
ENSG00000007080	CCDC124	2560	3037	1472	3754	3009	7577
ENSG00000007129	CEACAM21	2	5	1	0	0	0
ENSG00000007168	PAFAH1B1	930	1633	870	1778	1303	1462
ENSG00000007171	NOS2	0	0	0	0	0	0
ENSG00000007174	DNAH9	0	0	0	0	0	0
ENSG00000007202	KIAA0100	824	1530	726	1988	1635	1589
ENSG00000007216	SLC13A2	0	0	0	0	0	0
ENSG00000007237	GAS7	2	5	1	0	0	2
ENSG00000007255	TRAPPC6A	10	21	5	15	11	23
ENSG00000007264	MATK	0	5	2	2	4	0
ENSG00000007306	CEACAM7	0	0	0	3	0	0
ENSG00000007312	CD79B	0	9	0	0	0	0
ENSG00000007314	SCN4A	0	0	0	0	0	0
ENSG00000007341	ST7L	4	6	1	19	10	14
ENSG00000007350	TKTL1	0	0	0	0	2	0
ENSG00000007372	PAX6	1	1	0	3	5	0
ENSG00000007376	RPUSD1	38	51	18	65	76	135
ENSG00000007384	RHBDF1	69	100	35	159	99	124
ENSG00000007392	LUC7L	1038	1892	888	1391	1025	1147
ENSG00000007402	CACNA2D2	0	5	6	0	0	0
ENSG00000007516	BAIAP3	1	0	3	0	0	0
ENSG00000007520	TSR3	909	1173	605	1308	1061	2165
ENSG00000007541	PIGQ	301	450	195	481	409	563
ENSG00000007545	CRAMP1	0	0	0	3	0	0
ENSG00000007866	TEAD3	579	993	425	1569	1210	1451
ENSG00000007908	SELE	0	0	0	0	0	0
ENSG00000007923	DNAJC11	1552	3042	1580	4169	3232	3817
ENSG00000007933	FMO3	1	0	0	1	0	0
ENSG00000007944	MYLIP	52	61	36	63	31	48
ENSG00000007952	NOX1	1	0	0	0	0	0
ENSG00000007968	E2F2	184	264	143	388	343	280
ENSG00000008018	PSMB1	2418	4111	1801	3756	2608	3235
ENSG00000008056	SYN1	0	0	0	0	0	0
ENSG00000008083	JARID2	191	382	171	236	257	231
ENSG00000008086	CDKL5	0	5	0	0	2	2
ENSG00000008118	CAMK1G	0	0	1	0	0	2
ENSG00000008128	CDK11A	0	4	0	0	0	1
ENSG00000008130	NADK	0	0	1	20	10	13
ENSG00000008196	TFAP2B	1	2	1	71	58	72
ENSG00000008197	TFAP2D	0	0	0	0	2	0
ENSG00000008226	DLEC1	0	1	0	0	0	0
ENSG00000008256	CYTH3	226	367	171	803	607	592
ENSG00000008277	ADAM22	18	59	26	54	44	56
ENSG00000008282	SYPL1	1037	1673	712	1899	1793	1805
ENSG00000008283	CYB561	213	196	159	436	316	404
ENSG00000008294	SPAG9	1219	2434	1056	2599	2006	2129
ENSG00000008300	CELSR3	9	26	4	19	19	21
ENSG00000008311	AASS	19	43	18	66	60	47
ENSG00000008323	PLEKHG6	0	8	0	3	1	0
ENSG00000008324	SS18L2	152	207	85	210	148	207
ENSG00000008382	MPND	33	43	25	68	56	91
ENSG00000008394	MGST1	9980	17625	6847	23017	19072	18332
ENSG00000008405	CRY1	196	246	147	357	279	294
ENSG00000008438	PGLYRP1	0	1	0	0	0	0
ENSG00000008441	NFIX	357	624	234	613	508	605
ENSG00000008513	ST3GAL1	411	757	289	984	756	715
ENSG00000008516	MMP25	3	45	5	20	6	10
ENSG00000008517	IL32	0	8	0	0	0	0
ENSG00000008710	PKD1	134	282	98	346	314	406
ENSG00000008735	MAPK8IP2	8	16	3	6	7	8
ENSG00000008838	MED24	1157	1595	723	1172	1018	1504
ENSG00000008853	RHOBTB2	283	447	254	514	514	512
ENSG00000008869	HEATR5B	128	248	137	349	202	204
ENSG00000008952	SEC62	1880	3017	1395	2546	2266	2470
ENSG00000008988	RPS20	13646	25290	10172	29179	25523	26874
ENSG00000009307	CSDE1	29	61	23	55	25	44
ENSG00000009335	UBE3C	203	604	197	769	584	612
ENSG00000009413	REV3L	211	393	164	382	313	294
ENSG00000009694	TENM1	3	3	1	12	6	3
ENSG00000009709	PAX7	0	0	0	0	0	0
ENSG00000009724	MASP2	0	2	0	1	0	0
ENSG00000009765	IYD	0	14	0	0	2	1
ENSG00000009780	FAM76A	152	332	198	489	343	364
ENSG00000009790	TRAF3IP3	0	0	0	0	0	0
ENSG00000009830	POMT2	162	282	125	339	254	281
ENSG00000009844	VTA1	685	831	381	1080	985	960
ENSG00000009950	MLXIPL	1	1	0	1	0	5
ENSG00000009954	BAZ1B	466	1012	534	915	726	835
ENSG00000010017	RANBP9	565	875	372	831	701	735
ENSG00000010030	ETV7	0	0	0	0	0	0
ENSG00000010072	SPRTN	318	511	261	629	577	474
ENSG00000010165	EEF1AKNMT	140	167	70	178	136	226
ENSG00000010219	DYRK4	5	6	2	0	4	0
ENSG00000010244	ZNF207	2	5	1	2	1	5
ENSG00000010256	UQCRC1	610	907	373	1190	960	1110
ENSG00000010270	STARD3NL	681	1206	593	1464	1345	1269
ENSG00000010278	CD9	1625	2490	1224	3375	2642	2965
ENSG00000010282	HHATL	0	8	0	0	0	0
ENSG00000010292	NCAPD2	4471	7089	3622	7636	5535	7183
ENSG00000010295	IFFO1	81	164	67	243	142	173
ENSG00000010310	GIPR	0	15	1	2	0	1
ENSG00000010318	PHF7	7	8	2	14	21	14
ENSG00000010319	SEMA3G	13	12	3	4	1	5
ENSG00000010322	NISCH	77	148	60	214	209	243
ENSG00000010327	STAB1	0	18	0	1	0	3
ENSG00000010361	FUZ	175	225	123	25	33	29
ENSG00000010379	SLC6A13	0	0	0	0	0	0
ENSG00000010404	IDS	1	0	0	0	0	0
ENSG00000010438	PRSS3	8	15	10	28	25	16
ENSG00000010539	ZNF200	129	174	93	173	154	230
ENSG00000010610	CD4	0	0	0	0	0	0
ENSG00000010626	LRRC23	49	64	39	83	53	90
ENSG00000010671	BTK	3	7	2	3	1	2
ENSG00000010704	HFE	83	132	53	116	103	121
ENSG00000010803	SCMH1	1257	1874	854	1906	1368	1605
ENSG00000010810	FYN	223	319	142	516	457	532
ENSG00000010818	HIVEP2	71	126	50	219	153	190
ENSG00000010932	FMO1	0	0	0	0	0	1
ENSG00000011007	ELOA	1442	2551	1117	3131	2968	3436
ENSG00000011009	LYPLA2	824	1489	602	3057	2450	2783
ENSG00000011021	CLCN6	41	126	51	192	178	224
ENSG00000011028	MRC2	439	820	386	1091	745	1098
ENSG00000011052	NME1-NME2	0	0	0	2	0	0
ENSG00000011083	SLC6A7	0	0	0	0	0	0
ENSG00000011105	TSPAN9	130	264	119	244	169	199
ENSG00000011114	BTBD7	483	854	371	711	546	533
ENSG00000011132	APBA3	251	374	128	349	291	458
ENSG00000011143	MKS1	121	226	98	162	98	124
ENSG00000011198	ABHD5	690	1095	429	1054	919	1090
ENSG00000011201	ANOS1	0	0	0	0	0	0
ENSG00000011243	AKAP8L	407	854	351	1096	888	1086
ENSG00000011258	MBTD1	96	251	157	195	153	139
ENSG00000011260	UTP18	670	1272	548	1400	1200	1294
ENSG00000011275	RNF216	1580	3118	1448	3154	2566	2644
ENSG00000011295	TTC19	448	942	368	1328	1059	1090
ENSG00000011304	PTBP1	5368	8925	4660	11454	8059	11997
ENSG00000011332	DPF1	168	272	163	250	233	320
ENSG00000011347	SYT7	22	61	26	6	11	6
ENSG00000011376	LARS2	287	494	192	508	398	474
ENSG00000011405	PIK3C2A	187	337	158	733	577	512
ENSG00000011422	PLAUR	1021	1271	577	2126	1881	2363
ENSG00000011426	ANLN	5328	9477	4232	17736	12125	13302
ENSG00000011451	WIZ	894	1354	472	1520	1334	1463
ENSG00000011454	RABGAP1	420	778	358	939	787	745
ENSG00000011465	DCN	58	85	61	138	101	99
ENSG00000011478	QPCTL	671	903	541	854	765	1139
ENSG00000011485	PPP5C	3181	4422	2161	2896	2209	3021
ENSG00000011523	CEP68	164	232	104	135	100	111
ENSG00000011566	MAP4K3	238	408	143	361	316	385
ENSG00000011590	ZBTB32	0	0	0	1	0	0
ENSG00000011600	TYROBP	0	0	0	0	0	0
ENSG00000011638	TMEM159	72	133	61	215	108	168
ENSG00000011677	GABRA3	146	242	143	261	242	279
ENSG00000012048	BRCA1	185	451	161	293	298	353
ENSG00000012061	ERCC1	476	591	284	140	143	157
ENSG00000012124	CD22	0	11	2	0	0	0
ENSG00000012171	SEMA3B	5	6	11	59	52	76
ENSG00000012174	MBTPS2	233	441	169	415	385	410
ENSG00000012211	PRICKLE3	98	114	59	252	239	230
ENSG00000012223	LTF	0	0	0	0	0	1
ENSG00000012232	EXTL3	103	171	80	215	227	238
ENSG00000012504	NR1H4	4	3	2	0	0	0
ENSG00000012660	ELOVL5	3645	6832	2966	10681	8013	8749
ENSG00000012779	ALOX5	0	0	0	0	0	0
ENSG00000012817	KDM5D	0	0	0	0	0	0
ENSG00000012822	CALCOCO1	106	125	64	276	212	263
ENSG00000012963	UBR7	833	1774	918	1452	1212	1069
ENSG00000012983	MAP4K5	298	563	284	1115	898	672
ENSG00000013016	EHD3	113	221	89	440	379	497
ENSG00000013275	PSMC4	4076	5491	2289	3660	3570	3982
ENSG00000013288	MAN2B2	204	319	134	517	437	539
ENSG00000013293	SLC7A14	0	0	0	0	0	0
ENSG00000013297	CLDN11	1	1	1	71	91	84
ENSG00000013306	SLC25A39	954	1256	499	1763	1386	2373
ENSG00000013364	MVP	131	204	67	411	308	485
ENSG00000013374	NUB1	773	1254	700	1592	1495	1576
ENSG00000013375	PGM3	13	44	17	49	28	26
ENSG00000013392	RWDD2A	88	85	49	160	138	168
ENSG00000013441	CLK1	323	982	387	679	488	522
ENSG00000013503	POLR3B	183	332	156	305	239	206
ENSG00000013523	ANGEL1	207	316	101	259	186	270
ENSG00000013561	RNF14	882	1127	610	1931	1398	1561
ENSG00000013563	DNASE1L1	1	0	1	2	1	0
ENSG00000013573	DDX11	166	329	162	393	258	377
ENSG00000013583	HEBP1	324	452	236	745	461	596
ENSG00000013588	GPRC5A	1857	3187	1646	6387	4788	5611
ENSG00000013619	MAMLD1	24	49	24	65	65	48
ENSG00000013725	CD6	0	0	0	0	0	2
ENSG00000013810	TACC3	1473	2065	864	2153	1730	2774
ENSG00000014123	UFL1	401	796	484	633	434	498
ENSG00000014138	POLA2	3	2	1	2	0	1
ENSG00000014164	ZC3H3	140	229	96	256	272	493
ENSG00000014216	CAPN1	245	350	159	537	418	651
ENSG00000014257	ACP3	2	4	2	0	3	1
ENSG00000014641	MDH1	3449	6229	3281	6205	4445	5009
ENSG00000014824	SLC30A9	1357	2041	1041	2561	2099	2050
ENSG00000014914	MTMR11	84	206	81	166	139	154
ENSG00000014919	COX15	0	2	1	1	0	1
ENSG00000015133	CCDC88C	52	87	27	51	35	30
ENSG00000015153	YAF2	13	43	7	42	31	46
ENSG00000015171	ZMYND11	1138	2107	1080	2023	1783	1777
ENSG00000015285	WAS	3	5	0	2	0	2
ENSG00000015413	DPEP1	0	0	0	0	0	0
ENSG00000015475	BID	160	192	88	99	121	118
ENSG00000015479	MATR3	1	0	0	0	0	0
ENSG00000015520	NPC1L1	0	2	0	0	0	0
ENSG00000015532	XYLT2	496	817	405	779	564	699
ENSG00000015568	RGPD5	1	2	0	4	1	0
ENSG00000015592	STMN4	0	0	0	0	0	0
ENSG00000015676	NUDCD3	1209	1640	865	2026	1537	1985
ENSG00000016082	ISL1	0	0	0	0	0	0
ENSG00000016391	CHDH	0	0	0	2	0	0
ENSG00000016402	IL20RA	0	1	0	3	1	1
ENSG00000016490	CLCA1	0	0	0	0	0	0
ENSG00000016602	CLCA4	0	0	0	0	0	0
ENSG00000016864	GLT8D1	540	959	359	929	760	814
ENSG00000017260	ATP2C1	0	3	0	5	3	5
ENSG00000017427	IGF1	0	0	0	0	0	0
ENSG00000017483	SLC38A5	0	2	0	0	0	0
ENSG00000017797	RALBP1	126	279	108	332	245	256
ENSG00000018189	RUFY3	80	168	87	305	215	204
ENSG00000018236	CNTN1	5	14	4	0	0	0
ENSG00000018280	SLC11A1	0	0	0	1	0	0
ENSG00000018408	WWTR1	2758	3823	1790	4582	4036	4726
ENSG00000018510	AGPS	928	1836	1027	1803	1404	1277
ENSG00000018607	ZNF806	0	0	0	0	0	0
ENSG00000018610	STEEP1	334	586	320	813	552	745
ENSG00000018625	ATP1A2	0	0	0	0	0	0
ENSG00000018699	TTC27	41	81	30	67	54	59
ENSG00000018869	ZNF582	0	0	1	0	0	0
ENSG00000019102	VSIG2	0	1	0	0	0	0
ENSG00000019144	PHLDB1	81	114	56	165	119	174
ENSG00000019169	MARCO	0	0	0	0	0	0
ENSG00000019186	CYP24A1	2	14	0	3	0	3
ENSG00000019485	PRDM11	1	0	0	0	1	0
ENSG00000019505	SYT13	1	3	0	5	8	2
ENSG00000019549	SNAI2	287	384	183	664	614	686
ENSG00000019582	CD74	0	10	0	2	0	2
ENSG00000019991	HGF	0	0	0	0	0	0
ENSG00000019995	ZRANB1	599	1050	478	1642	1290	1299
ENSG00000020129	NCDN	229	340	130	628	565	638
ENSG00000020181	ADGRA2	59	81	38	69	62	87
ENSG00000020219	CCT8L1P	0	0	0	0	0	0
ENSG00000020256	ZFP64	468	814	355	659	517	542
ENSG00000020426	MNAT1	517	941	407	955	798	744
ENSG00000020577	SAMD4A	106	182	76	261	213	263
ENSG00000020633	RUNX3	0	0	0	0	0	1
ENSG00000020922	MRE11	627	1440	686	1766	1273	1247
ENSG00000021300	PLEKHB1	7	0	1	24	37	71
ENSG00000021355	SERPINB1	115	313	111	281	215	187
ENSG00000021461	CYP3A43	0	5	0	0	0	0
ENSG00000021488	SLC7A9	0	1	0	0	1	0
ENSG00000021574	SPAST	332	471	274	513	404	340
ENSG00000021645	NRXN3	1	3	0	0	0	1
ENSG00000021762	OSBPL5	62	91	44	158	106	150
ENSG00000021776	AQR	578	1051	552	1196	865	925
ENSG00000021826	CPS1	122	219	113	228	175	209
ENSG00000021852	C8B	0	0	0	0	1	0
ENSG00000022267	FHL1	57	58	13	123	91	108
ENSG00000022277	RTF2	0	4	1	3	0	3
ENSG00000022355	GABRA1	0	39	0	0	0	0
ENSG00000022556	NLRP2	0	2	0	0	0	0
ENSG00000022567	SLC45A4	89	182	61	157	141	228
ENSG00000022840	RNF10	601	920	451	1342	1044	1082
ENSG00000022976	ZNF839	95	160	83	145	105	131
ENSG00000023041	ZDHHC6	291	535	258	726	605	538
ENSG00000023171	GRAMD1B	90	193	76	95	87	81
ENSG00000023191	RNH1	2530	3419	1527	4353	3758	4962
ENSG00000023228	NDUFS1	1843	2837	1266	3082	2090	2153
ENSG00000023287	RB1CC1	836	1727	751	2256	1511	1338
ENSG00000023318	ERP44	1041	1854	845	2744	2252	2414
ENSG00000023330	ALAS1	313	530	200	753	581	740
ENSG00000023445	BIRC3	35	46	28	218	196	206
ENSG00000023516	AKAP11	711	1284	498	1501	1203	1327
ENSG00000023572	GLRX2	261	502	235	955	806	768
ENSG00000023608	SNAPC1	764	1621	573	2766	2392	2415
ENSG00000023697	DERA	441	815	321	1419	1032	1115
ENSG00000023734	STRAP	1669	3633	1783	4904	4168	3741
ENSG00000023839	ABCC2	692	1428	604	796	558	533
ENSG00000023892	DEF6	44	142	29	0	1	0
ENSG00000023902	PLEKHO1	71	130	64	204	130	204
ENSG00000023909	GCLM	2497	4017	1956	3336	2817	2933
ENSG00000024048	UBR2	755	1269	541	1579	1300	1499
ENSG00000024422	EHD2	437	910	410	1577	1359	1564
ENSG00000024526	DEPDC1	1352	3270	1440	2755	2432	2079
ENSG00000024862	CCDC28A	137	197	103	158	136	175
ENSG00000025039	RRAGD	385	746	341	544	430	457
ENSG00000025156	HSF2	159	294	123	342	280	303
ENSG00000025293	PHF20	488	920	434	783	676	735
ENSG00000025423	HSD17B6	3	22	5	18	22	18
ENSG00000025434	NR1H3	9	12	8	4	7	6
ENSG00000025708	TYMP	2	0	0	0	0	2
ENSG00000025770	NCAPH2	307	405	162	441	398	681
ENSG00000025772	TOMM34	2321	3820	1746	5258	4528	4845
ENSG00000025796	SEC63	530	975	466	988	859	840
ENSG00000025800	KPNA6	2805	5273	3205	11370	7713	8666
ENSG00000026025	VIM	20034	52875	20890	84602	65382	74392
ENSG00000026036	RTEL1-TNFRSF6B	0	0	0	0	0	0
ENSG00000026103	FAS	100	170	71	349	235	308
ENSG00000026297	RNASET2	245	369	164	659	431	536
ENSG00000026508	CD44	238	496	222	1165	950	1113
ENSG00000026559	KCNG1	16	22	9	8	7	14
ENSG00000026652	AGPAT4	23	48	13	81	58	87
ENSG00000026751	SLAMF7	8	14	18	769	616	641
ENSG00000026950	BTN3A1	52	88	64	155	127	112
ENSG00000027001	MIPEP	207	369	173	488	380	410
ENSG00000027075	PRKCH	0	2	0	7	9	2
ENSG00000027644	INSRR	0	1	0	0	0	0
ENSG00000027697	IFNGR1	221	628	263	359	301	271
ENSG00000027847	B4GALT7	110	147	63	201	192	231
ENSG00000027869	SH2D2A	0	0	0	0	0	1
ENSG00000028116	VRK2	605	1289	661	1438	1228	1130
ENSG00000028137	TNFRSF1B	0	0	0	22	20	27
ENSG00000028203	VEZT	444	775	397	886	655	663
ENSG00000028277	POU2F2	0	1	0	1	0	0
ENSG00000028310	BRD9	553	857	428	1231	885	983
ENSG00000028528	SNX1	681	1156	444	1290	1028	1140
ENSG00000028839	TBPL1	507	663	287	616	585	894
ENSG00000029153	ARNTL2	297	701	293	963	810	741
ENSG00000029363	BCLAF1	1951	3460	1580	2513	2052	1754
ENSG00000029364	SLC39A9	722	1149	516	1504	898	982
ENSG00000029534	ANK1	435	629	300	710	551	915
ENSG00000029559	IBSP	0	0	0	0	0	0
ENSG00000029639	TFB1M	67	93	39	85	84	103
ENSG00000029725	RABEP1	429	1070	424	1310	648	886
ENSG00000029993	HMGB3	661	1182	458	1194	1000	882
ENSG00000030066	NUP160	340	356	202	1033	541	967
ENSG00000030110	BAK1	776	1075	385	1192	1100	1454
ENSG00000030304	MUSK	0	2	1	0	1	5
ENSG00000030419	IKZF2	3	7	6	19	16	23
ENSG00000030582	GRN	337	592	210	1027	757	1172
ENSG00000031003	FAM13B	223	475	258	698	644	591
ENSG00000031081	ARHGAP31	446	701	313	779	678	773
ENSG00000031691	CENPQ	620	1123	532	1283	1095	903
ENSG00000031698	SARS1	2479	4267	1912	4049	3198	3545
ENSG00000031823	RANBP3	1274	2148	1222	2852	2217	2753
ENSG00000032219	ARID4A	107	256	164	280	229	196
ENSG00000032389	EIPR1	133	329	107	278	235	270
ENSG00000032444	PNPLA6	563	1050	482	2043	1608	1915
ENSG00000032742	IFT88	32	90	35	94	69	72
